order_id,order_date,customer_id,region,last_touch_channel,device_type,shipping_cost,order_total,is_returned,returned_amount
37,2024-07-11,10900,West,Organic Search,Mobile,7.71,56.54,False,0.0
38,2025-04-06,682,South,Paid Search,Tablet,6.33,322.88,False,0.0
39,2024-08-15,5591,Northeast,Email,Desktop,8.05,415.52,False,0.0
40,2025-03-07,9159,South,Referral,Mobile,6.41,129.73,True,70.61
41,2023-07-31,1764,Northeast,Organic Search,Desktop,5.11,768.07,False,0.0
42,2023-01-10,7061,Northeast,Direct,Mobile,10.28,98.38,False,0.0
43,2023-07-08,4046,Northeast,Email,Mobile,13.08,190.25,False,0.0
44,2023-08-15,4725,West,Email,Desktop,7.81,400.57,False,0.0
45,2023-05-20,2999,Northeast,Display,Desktop,7.34,806.98,False,0.0
46,2024-04-11,962,Northeast,Referral,Desktop,5.99,229.0,False,0.0
47,2025-02-18,4095,Northeast,Organic Search,Desktop,6.74,126.19,False,0.0
48,2023-06-02,5171,Northeast,Direct,Mobile,5.8,91.85,False,0.0
49,2024-11-27,9114,Midwest,Organic Search,Desktop,8.65,711.54,False,0.0
50,2025-02-09,11436,Midwest,Email,Desktop,7.22,783.68,False,0.0
51,2025-03-22,9919,West,Direct,Tablet,4.32,468.33,False,0.0
52,2025-03-20,5048,South,Direct,Desktop,6.4,72.39,False,0.0
53,2024-08-02,6039,South,Organic Search,Desktop,10.57,31.46,False,0.0
54,2024-04-12,1069,West,Display,Mobile,13.27,231.27,False,0.0
55,2024-05-20,2371,South,Display,Desktop,7.74,180.11,False,0.0
56,2023-11-05,8577,West,Social,Tablet,4.57,161.27,False,0.0
57,2024-03-11,9604,West,Email,Desktop,7.02,547.24,False,0.0
58,2023-12-31,7366,West,Direct,Desktop,5.16,103.17,False,0.0
59,2024-04-29,9282,South,Email,Mobile,0.0,71.82,False,0.0
60,2024-04-05,2831,South,Social,Mobile,5.68,95.22,False,0.0
61,2023-09-14,2223,West,Email,Tablet,10.91,110.34,False,0.0
62,2023-06-09,1589,Midwest,Email,Desktop,3.28,313.98,False,0.0
63,2025-06-09,4076,Midwest,Organic Search,Desktop,8.67,841.07,False,0.0
64,2023-11-14,8482,South,Direct,Desktop,5.91,99.72,False,0.0
65,2023-03-16,1611,Northeast,Email,Desktop,7.92,94.41,True,29.57
66,2023-01-18,7502,South,Organic Search,Desktop,4.12,356.27,False,0.0
67,2024-11-23,8261,South,Email,Mobile,7.86,382.85,False,0.0
68,2024-01-24,5628,Northeast,Direct,Desktop,13.05,114.31,False,0.0
69,2024-10-06,9294,Northeast,Organic Search,Desktop,6.4,279.33,False,0.0
70,2024-03-15,4841,Northeast,Email,Mobile,7.64,293.58,False,0.0
71,2023-12-16,6755,South,Social,Desktop,9.56,448.42,False,0.0
72,2025-05-08,4980,Midwest,Social,Desktop,7.95,515.91,False,0.0
73,2025-04-17,6212,Midwest,Social,Desktop,6.16,57.26,False,0.0
74,2024-03-26,13695,South,Email,Desktop,9.07,1058.13,False,0.0
75,2024-03-07,13582,West,Referral,Desktop,9.02,460.43,False,0.0
76,2023-10-04,524,Northeast,Organic Search,Desktop,3.23,267.34,False,0.0
77,2024-12-19,9730,Midwest,Referral,Mobile,5.94,666.12,False,0.0
78,2023-06-18,11487,Midwest,Paid Search,Mobile,9.94,454.75,False,0.0
79,2024-11-22,12172,Northeast,Paid Search,Mobile,4.6,201.02,False,0.0
80,2024-08-26,13773,Midwest,Email,Desktop,4.42,65.1,False,0.0
81,2023-05-12,12274,Northeast,Organic Search,Tablet,6.35,274.15,False,0.0
82,2025-01-10,14653,Midwest,Referral,Mobile,3.05,764.47,False,0.0
83,2025-01-27,8158,Northeast,Email,Mobile,6.44,129.94,False,0.0
84,2025-01-14,2729,West,Organic Search,Tablet,8.62,155.58,False,0.0
85,2023-03-16,9601,Midwest,Email,Mobile,6.96,132.05,False,0.0
86,2024-06-24,10779,South,Organic Search,Mobile,5.08,1592.8,False,0.0
87,2025-06-01,6618,South,Social,Tablet,8.0,347.79,False,0.0
88,2024-11-15,5747,West,Social,Desktop,5.26,1451.86,False,0.0
89,2024-04-04,12803,Northeast,Display,Desktop,5.67,153.29,True,105.73
90,2025-01-19,2660,Northeast,Referral,Desktop,7.11,37.0,True,22.1
91,2024-01-21,13651,Midwest,Paid Search,Desktop,7.48,232.49,False,0.0
92,2023-11-16,715,Northeast,Display,Mobile,8.68,567.1,False,0.0
93,2024-01-24,3638,West,Organic Search,Desktop,5.14,117.6,False,0.0
94,2024-10-09,2110,Midwest,Social,Tablet,10.89,158.21,False,0.0
95,2024-06-17,6889,Northeast,Social,Desktop,7.47,152.79,True,122.35
96,2024-12-17,11291,Midwest,Display,Mobile,5.01,155.27,True,86.31
97,2024-01-05,4052,Midwest,Organic Search,Mobile,8.34,42.8,False,0.0
98,2023-06-15,10434,Northeast,Direct,Mobile,8.4,93.88,False,0.0
99,2024-02-29,5934,Midwest,Social,Desktop,0.0,189.42,False,0.0
100,2025-04-14,2074,Midwest,Direct,Mobile,0.0,142.66,False,0.0
101,2024-12-28,7767,Northeast,Social,Tablet,5.56,291.63,False,0.0
102,2024-12-10,11969,South,Social,Mobile,10.35,80.35,False,0.0
103,2024-12-16,3403,Northeast,Email,Mobile,7.65,455.04,False,0.0
104,2025-05-18,999,South,Direct,Desktop,9.06,379.76,True,115.69
105,2023-08-22,10984,South,Direct,Desktop,9.06,92.1,False,0.0
106,2023-10-18,12910,South,Email,Mobile,4.7,602.37,False,0.0
107,2024-05-08,8552,Midwest,Organic Search,Mobile,3.23,40.15,False,0.0
108,2023-03-07,9646,South,Display,Desktop,8.08,52.23,False,0.0
109,2024-12-16,1317,Northeast,Paid Search,Desktop,3.73,522.4,False,0.0
110,2024-10-22,13429,West,Paid Search,Mobile,6.29,108.1,False,0.0
111,2025-06-18,13944,South,Referral,Desktop,10.72,37.35,False,0.0
112,2025-02-28,9915,West,Email,Desktop,9.86,385.29,False,0.0
113,2024-05-20,6032,South,Email,Desktop,9.76,130.0,False,0.0
114,2023-11-26,8601,Northeast,Paid Search,Desktop,9.43,171.55,False,0.0
115,2023-05-06,6244,West,Email,Desktop,6.34,103.49,False,0.0
116,2024-11-07,14629,Midwest,Organic Search,Desktop,6.7,116.18,False,0.0
117,2024-03-10,12509,Midwest,Email,Tablet,6.07,136.77,False,0.0
118,2025-03-02,6119,West,Referral,Desktop,7.3,128.25,False,0.0
119,2024-04-06,141,West,Organic Search,Desktop,6.47,1663.61,False,0.0
120,2024-12-24,517,Northeast,Direct,Desktop,6.19,341.77,False,0.0
121,2024-10-28,9671,Northeast,Social,Desktop,8.54,181.31,False,0.0
122,2024-04-20,10415,south ,Direct,Tablet,6.48,214.46,False,0.0
123,2023-12-25,12522,South,Organic Search,Desktop,5.82,62.14,False,0.0
124,2023-05-26,8125,West,Organic Search,Desktop,10.16,950.93,False,0.0
125,2024-07-04,6755,South,Direct,Desktop,9.05,104.53,False,0.0
126,2024-09-07,921,West,Paid Search,Mobile,8.94,191.46,False,0.0
127,2024-06-22,10030,South,Email,Tablet,6.26,472.81,False,0.0
128,2023-07-24,8341,West,Organic Search,Tablet,9.24,29.42,True,9.6
129,2024-10-01,11557,Northeast,Organic Search,Desktop,6.56,461.84,False,0.0
130,2025-03-17,1886,Northeast,Social,Mobile,2.33,72.64,False,0.0
131,2024-08-31,13778,Midwest,Organic Search,Desktop,2.19,17.67,False,0.0
132,2023-12-20,5027,Midwest,Social,Tablet,9.91,111.52,False,0.0
133,2023-12-21,7572,Midwest,Direct,Mobile,6.68,830.24,False,0.0
134,2023-11-27,613,Midwest,Organic Search,Desktop,3.78,130.62,False,0.0
135,2024-01-16,4275,Northeast,Direct,Mobile,8.93,71.75,False,0.0
136,2023-10-29,6563,South,Organic Search,Tablet,7.85,143.21,True,71.03
137,2024-07-09,11319,South,Organic Search,Mobile,5.85,182.53,True,129.92
138,2025-03-05,829,West,Direct,Desktop,8.82,103.9,False,0.0
139,2023-08-30,11721,South,Referral,Mobile,9.65,480.38,False,0.0
140,2025-04-29,14636,West,Display,Desktop,3.66,219.86,True,146.72
141,2024-12-17,2045,West,Direct,Mobile,3.08,393.49,False,0.0
142,2025-05-04,10634,West,Organic Search,Mobile,11.37,100.23,False,0.0
143,2025-06-02,12911,N. East,Paid Search,Desktop,11.11,25.15,False,0.0
144,2024-05-17,20,Northeast,Email,Desktop,7.29,168.82,False,0.0
145,2024-09-22,10769,Midwest,Referral,Mobile,2.12,69.98,False,0.0
146,2024-11-02,14402,Midwest,Organic Search,Mobile,10.88,52.05,False,0.0
147,2024-04-24,427,Northeast,Paid Search,Tablet,10.01,306.29,False,0.0
148,2023-07-16,9411,Northeast,Paid Search,Tablet,6.12,36.32,False,0.0
149,2025-03-16,10146,Northeast,Email,Mobile,6.37,111.29,False,0.0
150,2023-10-17,2162,Northeast,Social,Desktop,1.43,280.36,False,0.0
151,2023-08-18,13542,Midwest,Paid Search,Desktop,3.97,40.26,False,0.0
152,2024-09-23,7645,Midwest,Display,Mobile,5.86,391.79,False,0.0
153,2024-08-01,6143,Midwest,Organic Search,Desktop,2.32,705.81,False,0.0
154,2024-01-18,2442,Northeast,Display,Desktop,6.87,620.33,False,0.0
155,2024-04-24,3266,Northeast,Display,Desktop,9.84,201.5,False,0.0
156,2024-02-26,8773,Midwest,Organic Search,Desktop,3.8,57.07,False,0.0
157,2024-10-15,6293,Northeast,Display,Desktop,10.71,1276.2,False,0.0
158,2024-07-11,375,Midwest,Display,Mobile,9.77,256.3,False,0.0
159,2024-03-10,1147,Midwest,Direct,Desktop,13.09,184.23,False,0.0
160,2024-03-12,8525,Midwest,Direct,Mobile,0.0,127.31,False,0.0
161,2023-04-24,4106,South,Referral,Tablet,8.9,153.38,False,0.0
162,2023-10-16,6140,Midwest,Organic Search,Mobile,5.0,238.4,True,138.95
163,2024-03-17,3180,Midwest,Display,Mobile,0.0,11.95,False,0.0
164,2025-03-19,7721,South,Social,Desktop,0.0,59.65,False,0.0
165,2023-09-17,5349,West,Organic Search,Tablet,6.98,771.94,False,0.0
166,2024-02-24,1835,Northeast,Social,Desktop,0.42,372.92,False,0.0
167,2024-11-25,12319,West,Email,Desktop,1.59,60.43,False,0.0
168,2025-03-12,2323,South,Organic Search,Desktop,6.24,765.64,False,0.0
169,2025-02-20,3802,Midwest,Direct,Tablet,1.13,14.31,False,0.0
170,2023-03-21,2084,Northeast,Organic Search,Desktop,5.74,90.98,False,0.0
171,2025-05-28,3214,South,Social,Mobile,0.89,891.57,False,0.0
172,2024-02-02,766,West,Referral,Desktop,5.65,434.53,False,0.0
173,2023-06-18,12852,Midwest,Paid Search,Desktop,4.32,195.28,False,0.0
174,2023-07-04,354,South,Email,Desktop,8.78,349.99,False,0.0
175,2023-06-24,10163,South,Email,Desktop,10.79,150.68,False,0.0
176,2024-06-02,6275,Midwest,Organic Search,,8.3,117.26,False,0.0
177,2023-08-17,3679,Northeast,Paid Search,Mobile,4.53,167.64,False,0.0
178,2024-08-27,809,South,Display,Desktop,8.55,664.64,False,0.0
179,2023-11-05,4188,West,Display,Desktop,7.82,172.36,False,0.0
180,2024-11-20,6083,Northeast,Organic Search,Mobile,6.63,183.1,False,0.0
181,2024-05-05,3385,South,Paid Search,Mobile,8.21,655.38,False,0.0
182,2024-01-11,1363,West,Social,Mobile,4.72,409.34,False,0.0
183,2023-07-07,11930,Midwest,Display,Tablet,4.52,77.04,False,0.0
184,2023-09-18,2310,Northeast,Organic Search,Mobile,11.87,254.11,False,0.0
185,2023-09-08,11467,Northeast,Paid Search,Mobile,7.41,201.62,False,0.0
186,2023-10-09,602,South,Display,Desktop,5.68,385.81,False,0.0
187,2025-03-03,10754,South,Direct,Desktop,8.65,944.39,False,0.0
188,2024-01-08,2080,Northeast,Referral,Desktop,7.84,110.4,False,0.0
189,2023-05-08,10347,Northeast,Paid Search,Desktop,2.02,419.15,False,0.0
190,2024-10-12,8881,West,Email,Desktop,10.22,29.7,False,0.0
191,2024-04-27,11488,Midwest,Referral,Desktop,2.79,460.67,False,0.0
192,2024-07-28,14892,Northeast,Direct,Mobile,4.58,337.94,False,0.0
193,2025-04-15,1880,Northeast,Paid Search,Tablet,12.76,336.19,False,0.0
194,2025-05-26,2186,Northeast,Email,Desktop,6.74,13.49,False,0.0
195,2025-04-22,4185,Northeast,Referral,Tablet,10.4,89.27,False,0.0
196,2023-02-22,5209,mid-west,Social,Desktop,2.86,61.23,False,0.0
197,2023-05-05,13382,West,Organic Search,Tablet,0.08,34.04,False,0.0
198,2023-12-28,14520,South,Organic Search,Desktop,8.18,106.25,False,0.0
199,2024-01-18,909,South,Organic Search,Mobile,7.96,399.19,False,0.0
200,2024-09-27,14627,West,Paid Search,Mobile,7.0,163.86,False,0.0
201,2023-11-05,11948,Midwest,Referral,Mobile,4.16,551.84,False,0.0
202,2025-02-25,13889,South,Paid Search,Desktop,6.89,168.33,False,0.0
203,2023-03-23,10507,South,Direct,Mobile,7.85,255.49,True,135.3
204,2023-01-02,435,Midwest,Paid Search,Mobile,4.35,177.61,False,0.0
205,2023-08-26,6546,South,Organic Search,Desktop,10.54,393.34,False,0.0
206,2023-10-28,13222,Midwest,Direct,Desktop,6.34,369.58,False,0.0
207,2023-02-23,6584,Midwest,Email,Mobile,6.19,364.37,False,0.0
208,2024-11-06,12728,South,Email,Desktop,4.44,414.7,False,0.0
209,2024-11-14,8846,Northeast,Organic Search,Tablet,7.1,479.4,False,0.0
210,2024-07-03,609,Northeast,Paid Search,Desktop,2.54,814.14,False,0.0
211,2024-09-21,8360,West,Email,Mobile,5.78,99.45,False,0.0
212,2024-09-12,8615,West,Direct,Desktop,5.77,128.58,False,0.0
213,2025-02-25,3131,Midwest,Referral,Mobile,6.15,365.29,False,0.0
214,2024-03-02,8377,West,Organic Search,Desktop,6.0,213.03,True,129.32
215,2024-11-13,11156,Midwest,Display,Mobile,7.28,260.36,False,0.0
216,2024-10-20,8370,South,Referral,Mobile,2.41,271.81,False,0.0
217,2023-12-04,771,West,Paid Search,Desktop,4.51,735.46,False,0.0
218,2023-12-11,74,Northeast,Paid Search,Desktop,6.76,671.8,False,0.0
219,2025-04-13,5951,N. East,Social,Tablet,3.44,87.55,False,0.0
220,2025-06-01,5315,South,Email,Desktop,14.32,231.55,False,0.0
221,2023-01-10,9175,West,Paid Search,Desktop,7.07,338.53,False,0.0
222,2024-07-21,299,Midwest,Paid Search,Desktop,8.37,119.78,False,0.0
223,2023-10-14,14691,West,Social,Mobile,7.72,309.86,False,0.0
224,2024-06-20,8211,South,Referral,Desktop,9.67,112.77,False,0.0
225,2023-01-20,4055,South,Organic Search,Mobile,5.81,259.21,False,0.0
226,2023-08-04,12430,South,Organic Search,Mobile,5.3,163.24,False,0.0
227,2025-01-05,11111,Northeast,Direct,Desktop,8.43,966.66,False,0.0
228,2023-06-20,5819,South,Referral,Mobile,9.91,37.33,False,0.0
229,2024-12-12,4902,West,Paid Search,Desktop,0.0,275.19,False,0.0
230,2024-08-31,14933,Midwest,Social,Desktop,3.89,198.77,False,0.0
231,2024-04-15,11692,Midwest,Email,Mobile,12.7,107.91,False,0.0
232,2025-03-14,4687,Northeast,Referral,Desktop,3.57,240.54,False,0.0
233,2024-12-15,7002,West,Social,Mobile,8.74,1471.66,False,0.0
234,2024-05-22,3743,Midwest,Direct,Mobile,8.88,463.88,False,0.0
235,2023-12-03,14411,West,Organic Search,Mobile,7.2,282.28,True,57.36
236,2023-12-13,9405,South,Referral,Desktop,10.48,16.64,False,0.0
237,2024-12-06,8549,Midwest,Paid Search,Tablet,3.7,132.36,False,0.0
238,2023-02-17,2288,West,Email,Mobile,0.74,40.35,False,0.0
239,2024-11-16,12774,South,Email,Mobile,3.93,147.86,False,0.0
240,2024-03-05,14753,South,Display,Mobile,9.82,64.24,True,42.25
241,2024-07-20,11761,South,Paid Search,Mobile,0.0,35.73,False,0.0
242,2024-08-14,13112,Northeast,Direct,Mobile,8.45,500.09,False,0.0
243,2024-12-10,2939,South,Organic Search,Mobile,5.62,1214.57,False,0.0
244,2025-02-21,5182,Midwest,Direct,Mobile,9.2,124.68,False,0.0
245,2024-05-27,11411,Northeast,Email,Mobile,9.22,690.98,False,0.0
246,2023-10-02,4734,South,Email,Desktop,6.89,176.08,False,0.0
247,2024-09-15,3534,N. East,Paid Search,Tablet,5.95,717.09,True,583.32
248,2023-02-05,5602,Midwest,Organic Search,Mobile,8.97,344.13,True,161.97
249,2024-08-24,4143,South,Email,Mobile,0.43,145.28,False,0.0
250,2024-06-06,13503,Northeast,Organic Search,Mobile,6.46,842.31,True,426.12
251,2024-09-17,7300,South,Social,Desktop,6.0,97.19,True,73.03
252,2024-08-26,3625,Midwest,Paid Search,Mobile,0.68,88.98,False,0.0
253,2024-12-10,7297,Northeast,Paid Search,Desktop,9.29,335.01,False,0.0
254,2024-08-13,645,West,Paid Search,Mobile,10.73,170.64,False,0.0
255,2025-06-06,5847,South,Paid Search,Tablet,6.31,584.75,False,0.0
256,2023-12-26,9933,Midwest,Social,Desktop,0.0,58.59,False,0.0
257,2024-05-27,8374,Northeast,Referral,Mobile,1.19,341.49,False,0.0
258,2024-04-09,12635,Northeast,Referral,Desktop,0.0,83.26,False,0.0
259,2024-03-09,6542,West,Referral,Desktop,4.61,342.12,False,0.0
260,2023-11-25,8623,Northeast,Paid Search,Mobile,5.69,190.11,False,0.0
261,2023-08-11,14607,South,Paid Search,Mobile,6.62,146.97,False,0.0
262,2023-05-11,2904,Northeast,Direct,Desktop,5.38,543.96,False,0.0
263,2025-03-06,12512,South,Organic Search,Tablet,5.46,198.71,False,0.0
264,2024-10-20,2736,Northeast,Email,Desktop,5.02,44.43,False,0.0
265,2023-10-10,9647,South,Paid Search,Desktop,4.84,358.21,False,0.0
266,2023-10-06,8581,Northeast,Display,Mobile,3.4,432.52,False,0.0
267,2024-12-12,6517,West,Social,Desktop,7.73,152.38,False,0.0
268,2024-11-11,4309,Northeast,Paid Search,Mobile,5.27,398.27,False,0.0
269,2024-05-23,472,Northeast,Direct,Mobile,2.42,175.31,False,0.0
270,2024-07-22,4779,West,Paid Search,Mobile,3.99,383.68,False,0.0
271,2023-07-13,1910,South,Paid Search,Mobile,6.31,277.17,False,0.0
272,2024-03-30,12215,Northeast,Direct,Desktop,3.7,969.37,True,578.49
273,2023-08-03,4330,Midwest,Paid Search,Mobile,12.16,292.8,False,0.0
274,2025-03-14,8229,Midwest,Paid Search,Mobile,6.83,79.44,False,0.0
275,2024-10-26,1530,Midwest,Organic Search,Desktop,6.1,411.17,False,0.0
276,2023-04-19,9087,Northeast,Referral,Desktop,10.5,793.52,False,0.0
277,2023-03-19,134,Midwest,Organic Search,Mobile,5.64,293.13,False,0.0
278,2024-12-22,12045,Midwest,Display,Mobile,12.25,35.47,False,0.0
279,2023-05-28,11972,Midwest,Email,Desktop,9.15,25.85,False,0.0
280,2023-12-01,11305,Northeast,Organic Search,Desktop,0.0,425.36,False,0.0
281,2024-12-30,6365,South,Direct,Desktop,6.69,693.89,False,0.0
282,2023-10-30,11783,Midwest,Paid Search,Mobile,6.03,924.15,False,0.0
283,2024-07-23,11390,West,Referral,Mobile,10.53,111.44,False,0.0
284,2024-04-28,6959,South,Display,Desktop,6.85,917.36,False,0.0
285,2024-06-16,2905,South,Email,Desktop,5.57,178.61,False,0.0
286,2024-04-07,6816,Northeast,Display,Desktop,2.35,110.43,False,0.0
287,2024-11-05,3791,Northeast,Social,Mobile,2.07,606.54,False,0.0
288,2023-03-13,9071,West,Email,Tablet,5.29,393.55,False,0.0
289,2025-06-06,4527,Midwest,Email,Desktop,12.87,107.53,False,0.0
290,2023-05-22,1529,West,Paid Search,Mobile,13.37,413.12,False,0.0
291,2024-09-07,13313,Midwest,Organic Search,Mobile,2.83,370.92,False,0.0
292,2023-02-14,12599,Midwest,Email,Mobile,0.0,527.35,False,0.0
293,2023-04-24,9165,Midwest,Referral,Mobile,10.4,345.54,False,0.0
294,2025-02-26,13889,South,Paid Search,Mobile,3.33,31.77,False,0.0
295,2024-10-14,8215,South,Direct,Desktop,9.14,129.33,False,0.0
296,2024-01-24,3735,West,Organic Search,Mobile,6.97,45.19,False,0.0
297,2024-01-22,14299,Midwest,Organic Search,Desktop,5.9,346.98,False,0.0
298,2025-06-17,5158,West,Referral,Mobile,6.91,82.42,False,0.0
299,2024-09-16,11843,South,Direct,Desktop,7.48,119.42,False,0.0
300,2023-06-05,9671,Northeast,Social,Desktop,5.73,197.46,False,0.0
301,2023-03-14,11536,South,Paid Search,Mobile,8.7,132.59,False,0.0
302,2024-08-23,8794,West,Paid Search,Mobile,3.37,457.57,False,0.0
303,2025-01-27,1146,South,Email,Desktop,5.14,712.3,False,0.0
304,2023-07-20,3678,South,Display,Desktop,8.12,172.07,False,0.0
305,2023-05-07,12706,West,Social,Mobile,9.74,74.87,False,0.0
306,2023-02-19,13262,West,Referral,Desktop,0.23,599.55,False,0.0
307,2023-09-01,1697,West,Social,Desktop,9.06,433.35,False,0.0
308,2023-12-26,6200,Midwest,Email,Desktop,0.0,29.44,False,0.0
309,2024-12-11,6445,South,Email,Desktop,1.34,398.24,False,0.0
310,2023-06-17,13376,South,Organic Search,Mobile,5.68,134.8,False,0.0
311,2023-08-13,10176,West,Social,Mobile,3.54,151.92,False,0.0
312,2023-01-28,7454,Northeast,Email,Desktop,7.14,40.18,False,0.0
313,2023-09-16,4825,West,Organic Search,Mobile,8.22,534.45,False,0.0
314,2023-11-28,7063,West,Paid Search,Mobile,8.55,383.78,False,0.0
315,2023-04-14,6318,South,Direct,Mobile,4.24,167.97,False,0.0
316,2024-02-25,7591,Northeast,Organic Search,Mobile,8.17,487.2,False,0.0
317,2023-06-30,7819,West,Direct,Tablet,7.86,97.12,False,0.0
318,2023-02-01,5816,Midwest,Paid Search,Desktop,4.95,278.44,False,0.0
319,2024-12-28,7808,Northeast,Social,Desktop,8.57,392.36,False,0.0
320,2025-06-20,9455,South,Paid Search,Mobile,5.11,619.45,False,0.0
321,2025-02-17,5953,Midwest,Email,Desktop,8.77,61.51,False,0.0
322,2024-02-11,12718,Midwest,Paid Search,Desktop,3.3,90.83,False,0.0
323,2023-09-20,9365,South,Social,Mobile,3.38,689.61,False,0.0
324,2024-05-29,2997,South,Direct,Mobile,0.0,968.43,False,0.0
325,2023-11-12,7904,West,Paid Search,Mobile,4.64,224.62,False,0.0
326,2025-06-30,940,Northeast,Organic Search,Tablet,6.43,389.07,False,0.0
327,2024-10-31,3663,Northeast,Display,Mobile,11.52,118.38,False,0.0
328,2023-02-07,6590,Midwest,Direct,Desktop,8.13,1111.87,False,0.0
329,2024-11-11,8644,South,Social,,7.57,359.86,False,0.0
330,2025-05-22,7400,South,Paid Search,,7.2,471.11,True,408.71
331,2023-04-13,10459,West,Social,Mobile,0.0,23.0,False,0.0
332,2024-04-28,9064,West,Email,Desktop,9.18,370.14,False,0.0
333,2025-01-29,13269,South,Email,Mobile,7.48,193.75,False,0.0
334,2024-11-10,8622,Midwest,Organic Search,Desktop,7.04,490.61,False,0.0
335,2024-09-07,9837,South,Paid Search,Mobile,8.57,181.14,False,0.0
336,2024-12-06,6750,Northeast,Email,,12.87,467.82,False,0.0
337,2025-05-06,1102,Northeast,Referral,Desktop,5.07,282.63,False,0.0
338,2024-05-20,622,Northeast,Direct,Mobile,9.43,410.85,False,0.0
339,2023-12-13,10933,South,Paid Search,Mobile,0.0,255.38,False,0.0
340,2023-10-23,1765,Midwest,Paid Search,Desktop,12.48,316.26,False,0.0
341,2024-05-26,2860,West,Referral,Desktop,13.63,23.77,False,0.0
342,2024-07-05,2244,west  ,Organic Search,Desktop,4.64,442.13,False,0.0
343,2023-04-05,5135,Northeast,Display,Desktop,6.81,340.79,False,0.0
344,2023-01-13,2989,Midwest,Social,Mobile,8.56,651.73,False,0.0
345,2024-01-02,13008,Northeast,Paid Search,Mobile,5.63,790.51,False,0.0
346,2023-10-19,5030,South,Social,Desktop,10.92,283.55,False,0.0
347,2024-06-28,133,South,Social,Desktop,8.15,175.89,False,0.0
348,2023-12-29,2481,Northeast,Display,Desktop,12.3,170.81,False,0.0
349,2024-02-19,14940,Midwest,Paid Search,Mobile,4.8,280.89,False,0.0
350,2025-01-12,10846,South,Organic Search,Mobile,7.23,401.89,False,0.0
351,2023-12-05,6869,Midwest,Email,Mobile,9.76,594.17,False,0.0
352,2024-12-31,4475,West,Organic Search,Mobile,5.31,533.35,False,0.0
353,2023-08-14,13589,South,Paid Search,Tablet,8.33,352.34,False,0.0
354,2024-12-16,2939,South,Referral,Mobile,9.89,82.43,False,0.0
355,2024-01-31,10847,Midwest,Social,Desktop,6.55,197.39,False,0.0
356,2023-07-29,4890,Midwest,Referral,Desktop,6.01,774.17,False,0.0
357,2023-12-23,7099,Midwest,Social,Mobile,3.78,597.9,False,0.0
358,2023-11-17,3428,Northeast,Email,Desktop,7.13,303.75,False,0.0
